iter	Passed	Remaining
147	3461	12908
148	3483	12881
149	3505	12855
150	3527	12824
151	3550	12802
152	3573	12775
153	3596	12750
154	3619	12724
155	3639	12690
156	3660	12660
157	3684	12638
158	3705	12608
159	3729	12587
160	3752	12563
161	3775	12539
162	3796	12508
163	3821	12490
164	3844	12466
165	3866	12438
166	3889	12414
167	3911	12387
168	3934	12361
169	3955	12330
170	3979	12309
171	4004	12291
172	4027	12268
173	4051	12247
174	4074	12222
175	4097	12199
176	4119	12172
177	4140	12143
178	4162	12115
179	4186	12093
180	4208	12067
181	4231	12044
182	4252	12014
183	4274	11988
184	4297	11963
185	4319	11937
186	4342	11913
187	4365	11888
188	4388	11864
189	4416	11853
190	4440	11832
191	4464	11812
192	4487	11788
193	4509	11761
194	4531	11735
195	4551	11704
196	4574	11678
197	4595	11650
198	4616	11621
199	4637	11594
200	4659	11567
201	4681	11542
202	4704	11518
203	4727	11493
204	4749	11468
205	4771	11442
206	4792	11413
207	4813	11385
208	4839	11369
209	4861	11342
210	4883	11317
211	4905	11291
212	4927	11265
213	4950	11241
214	4974	11221
215	4996	11196
216	5018	11171
217	5039	11142
218	5049	11090
219	5071	11065
220	5094	11041
221	5115	11014
222	5137	10989
223	5160	10966
224	5183	10943
225	5207	10921
226	5229	10897
227	5256	10882
228	5280	10860
229	5303	10836
230	5326	10813
231	5348	10789
232	5371	10765
233	5394	10743
234	5415	10716
235	5438	10691
236	5460	10667
237	5483	10644
238	5499	10607
239	5521	10583
240	5546	10564
241	5568	10538
242	5590	10514
243	5608	10481
244	5631	10458
245	5658	10442
246	5680	10418
247	5702	10392
248	5725	10370
249	5747	10344
250	5767	10317
251	5792	10297
252	5813	10270
253	5834	10245
254	5856	10219
255	5879	10198
256	5902	10173
257	5925	10151
258	5948	10128
259	5971	10105
260	5992	10079
261	6013	10052
262	6034	10027
263	6058	10006
264	6082	9984
265	6103	9959
266	6125	9933
267	6147	9909
268	6169	9885
269	6192	9861
270	6213	9836
271	6235	9812
272	6257	9787
273	6281	9765
274	6304	9743
275	6326	9719
276	6348	9694
277	6370	9670
278	6393	9648
279	6415	9622
280	6438	9600
281	6464	9581
282	6481	9550
283	6503	9526
284	6524	9500
285	6547	9478
286	6569	9453
287	6590	9427
288	6610	9401
289	6632	9377
290	6655	9354
291	6678	9331
292	6699	9306
293	6720	9280
294	6743	9257
295	6766	9234
296	6787	9210
297	6810	9186
298	6831	9162
299	6854	9139
300	6880	9120
301	6900	9094
302	6922	9070
303	6945	9047
304	6966	9021
305	6988	8998
306	7011	8975
307	7032	8951
308	7056	8928
309	7078	8904
310	7100	8881
311	7122	8857
312	7143	8832
313	7165	8808
314	7187	8784
315	7209	8761
316	7230	8736
317	7252	8712
318	7277	8691
319	7298	8666
320	7320	8643
321	7342	8619
322	7363	8594
323	7385	8570
324	7406	8545
325	7428	8522
326	7450	8498
327	7473	8475
328	7497	8454
329	7518	8430
330	7541	8407
331	7562	8382
332	7581	8355
333	7603	8332
334	7625	8308
335	7647	8285
336	7670	8262
337	7696	8242
338	7717	8218
339	7739	8194
340	7759	8168
341	7780	8144
342	7802	8120
343	7824	8097
344	7848	8075
345	7868	8050
346	7890	8026
347	7912	8003
348	7935	7980
349	7957	7957
350	7978	7933
351	8000	7909
352	8022	7885
353	8044	7863
354	8066	7838
355	8090	7818
356	8113	7794
357	8134	7770
358	8154	7745
359	8177	7723
360	8199	7700
361	8219	7674
362	8238	7648
363	8259	7623
364	8278	7598
365	8297	7572
366	8317	7547
367	8338	7522
368	8357	7496
369	8377	7471
370	8398	7447
371	8415	7420
372	8436	7395
373	8458	7372
374	8482	7351
375	8506	7329
376	8528	7307
377	8550	7283
378	8570	7259
379	8591	7235
380	8614	7213
381	8638	7190
382	8661	7168
383	8730	7184
384	8752	7161
385	8785	7146
386	8814	7129
387	8854	7119
388	8876	7096
389	8902	7076
390	8923	7052
391	8947	7030
392	8969	7006
393	8990	6982
394	9011	6958
395	9033	6935
396	9057	6913
397	9081	6890
398	9104	6868
399	9124	6843
400	9145	6819
401	9165	6794
402	9184	6768
