index,feature,mean_abs_shap_mean,mean_abs_shap_std
706,sub_position_Centre_Forward,0.0008838203746714503,0.0004706403510758748
88,club_league_name_Premiership,0.0008750911767746184,0.0004978213766917586
188,country_of_citizenship_Greece,0.0008725814410683583,0.00032562934858369774
87,club_league_name_Premier_League,0.0008351084456992102,0.0005228561454057808
69,club_league_name_Ekstraklasa,0.0008273619112129925,0.00040654951713513113
167,country_of_citizenship_Croatia,0.0008200618583355673,0.0004794735055243176
182,country_of_citizenship_France,0.0008050186771053391,0.0006195139887237567
67,club_league_name_Championship,0.0008030766255969849,0.0004090381224917205
7,Comp_ch_Swiss_Super_League,0.0007782603723940362,0.0003834104033689028
95,club_league_name_Serie_A,0.0006540660301582399,0.00034199904041992625
9,Comp_de_2_Bundesliga,0.0006411838696452582,0.0005193402452993365
1,Comp_2_Comps,0.0006398351161440164,0.00037488854552935696
75,club_league_name_La_Liga,0.0006176461605025686,0.0002479718564691187
80,club_league_name_Liga_I,0.0005900931841082721,0.00029673389148754224
651,positions_ST,0.000579623931182431,0.0006162667632751883
64,club_league_name_Allsvenskan,0.0005691430469985677,0.00028793455974546336
640,positions_RW_RM,0.0005207026922747981,0.0003480318972537774
98,club_league_name_Super_League,0.0005129134707570617,0.00046806606946525175
264,country_of_citizenship_Trkiye,0.0005097300231793528,0.0003241491486989244
283,has_fbref,0.0004957829365175052,0.00035351453100131803
43,Pos_FW,0.000494553609144253,0.00039129661794834453
574,positions_RB_RM,0.0004821482637904925,0.00029570032539841164
142,country_of_citizenship_Austria,0.00046043533920842733,0.00041788098123235847
47,Pos_MF,0.0004442456383866897,0.00048060692220759605
99,club_league_name_Superliga,0.00043749794419224594,0.0002824202154485369
81,club_league_name_Liga_Profesional_de_Ftbol,0.00042878434583412396,0.00020655939413615325
705,sub_position_Centre_Back,0.0004206515284296734,0.0003486130707358364
247,country_of_citizenship_Serbia,0.0004192562734763551,0.0003338818541520125
269,country_of_citizenship_United_States,0.00041796934276872906,0.00036966441714421307
273,country_of_citizenship_Wales,0.00038380655486180954,0.0002728230148102688
65,club_league_name_Bundesliga,0.00038337726341464097,0.00039825773813314196
149,country_of_citizenship_Bosnia_Herzegovina,0.00038029567012955407,0.00025827305826122256
93,club_league_name_Pro_League,0.0003784631924662531,0.00023912793475980312
13,Comp_eng_League_One,0.00037216364749443687,0.0003275271966138476
90,club_league_name_Primeira_Liga,0.0003529675458070794,0.0003491102530370901
16,Comp_es_La_Liga,0.0003494567917355981,0.00031320819608099843
290,position_group_MID,0.00033693873846682757,0.00012846487071497493
83,club_league_name_Ligue_2,0.00032988863749274324,0.0002476926956458391
31,Comp_ro_Liga_I,0.0003263194489374231,0.00022236310711713997
345,positions_CB_LB_CDM,0.0003251535931853669,0.000247756099896186
703,sub_position_Attacking_Midfield,0.000323876959696356,0.00037574215572477095
97,club_league_name_Sper_Lig,0.0003180858037304326,0.00019371878061853168
245,country_of_citizenship_Scotland,0.00030830705515923017,0.0003609871217490603
205,country_of_citizenship_Japan,0.0003009217312425234,0.00024634116604085025
241,country_of_citizenship_Romania,0.0002943868624179906,0.00028397025799256354
111,country_name_France,0.0002915110239513707,0.0003141587721833186
23,Comp_it_Serie_A,0.0002883866088681429,0.0002873365455359529
334,positions_CB,0.0002791622458362309,0.00024631964920917887
173,country_of_citizenship_Denmark,0.0002739211047570182,0.0001996940453180652
217,country_of_citizenship_Mali,0.0002712069283353704,0.00024007632737963846
24,Comp_it_Serie_B,0.00026644277207140847,0.00025683531498248363
268,country_of_citizenship_Ukraine,0.0002663328003312439,0.0002197183678546345
77,club_league_name_League_One,0.0002621935370046286,0.0002450685017535458
54,age,0.00024888711851301303,0.00015942052540516362
388,positions_CM_CAM,0.00024799022150823375,0.00017627495825715356
288,position_group_FWD,0.00024782237907125445,0.0002000004270555856
30,Comp_pt_Primeira_Liga,0.0002454130497604045,0.0002545605105999445
711,sub_position_Left_Winger,0.00024090087144920642,0.0003175250619037647
62,club_league_name_3_Liga,0.00023878845696650785,0.0003082024765377886
614,positions_RM_RW,0.00023656466926129374,0.0002530537280012476
439,positions_GK,0.00023004756194879066,0.00014749189533088541
76,club_league_name_La_Liga_2,0.0002192130953695206,0.00018756675694236115
28,Comp_nl_Eredivisie,0.00021649447870071282,0.0003442216831415728
712,sub_position_Right_Back,0.00021388449604095868,0.00021034795184289283
145,country_of_citizenship_Belgium,0.0002125153323755574,0.00019019877008696925
296,positions_CAM_CM,0.0002089938387195356,0.00014681575487353725
166,country_of_citizenship_Cote_dIvoire,0.00020734168795988073,0.0001244057631137577
399,positions_CM_CDM,0.00020119359979424474,0.00020043036908775225
181,country_of_citizenship_Finland,0.00019144828003764974,0.00022104463750020353
11,Comp_dk_Danish_Superliga,0.00017426913205685745,0.00019370593052212438
40,Pos_DF,0.00017156647211680624,0.0001078629125611539
201,country_of_citizenship_Ireland,0.0001689786102747036,0.00015972220962073144
108,country_name_Denmark,0.000168764118748944,0.0002689978449455016
359,positions_CB_RB_RM,0.00016139688033433875,0.00021736814411442779
3,Comp_at_Austrian_Bundesliga,0.00015262352796434933,0.00014920684351624254
139,country_of_citizenship_Argentina,0.00015181235580289353,0.00020113039138468778
186,country_of_citizenship_Germany,0.00014913806946894955,0.00012875585324534104
707,sub_position_Defensive_Midfield,0.00013895070228530542,0.0001420375378911604
351,positions_CB_RB_CDM,0.00013110179383860515,0.00013964421452249273
251,country_of_citizenship_Slovenia,0.0001289232360583437,0.0001790602323468124
256,country_of_citizenship_Sweden,0.00012439673095793964,0.00013613200469070948
713,sub_position_Right_Midfield,0.00012298751466488427,0.00017199359782043644
49,Pos_MFFW,0.00012250526235995548,0.00010757117680256734
36,Comp_tr_Sper_Lig,0.00011885774889064319,0.0001420374952192682
710,sub_position_Left_Midfield,0.0001030588430638754,0.00024980954149287276
400,positions_CM_CDM_CAM,0.00010231888769171329,0.00011672426557280403
42,Pos_DFMF,9.998414099381654e-05,0.00011758801984125493
225,country_of_citizenship_Morocco,9.716664550778066e-05,0.00016465092378451494
29,Comp_pl_Ekstraklasa,8.835770481925973e-05,0.00012173970052598467
187,country_of_citizenship_Ghana,8.785780107564562e-05,0.000156985107584679
370,positions_CDM_CM_CB,8.617185524660059e-05,0.00011215809339920927
714,sub_position_Right_Winger,8.580354583259121e-05,0.00011666163853994087
14,Comp_eng_League_Two,8.262089897879493e-05,0.00015597047457351873
136,country_of_citizenship_Algeria,7.818176150440321e-05,0.00011962342320438541
455,positions_LB_LM,7.79388401121225e-05,0.0001609555237366667
336,positions_CB_CDM_CM,7.702652951919338e-05,0.0001328361752079665
542,positions_RB,7.607534203177892e-05,8.343860271153852e-05
20,Comp_hr_Hrvatska_NL,7.289983071598239e-05,0.00013134884808778033
350,positions_CB_RB,6.861695957574469e-05,0.00013386363928852605
510,positions_LM_RM_LW,6.641677464576853e-05,9.883654350918364e-05
35,Comp_sct_Scottish_Premiership,6.635356117598068e-05,0.00013877440427185393
4,Comp_au_A_League_Men,6.572003675107986e-05,8.625972255126561e-05
709,sub_position_Left_Back,6.540840147095267e-05,7.467304670115714e-05
191,country_of_citizenship_Guinea,5.813390706540257e-05,9.521331445986757e-05
154,country_of_citizenship_Cameroon,5.668177800170706e-05,7.778178491637826e-05
257,country_of_citizenship_Switzerland,5.650260969463737e-05,9.85932944549699e-05
50,Pos_nan,5.5934015594242494e-05,6.797436280280292e-05
17,Comp_es_Segunda_Divisin,5.566818342272993e-05,9.90091621938048e-05
6,Comp_be_Challenger_Pro_League,5.35030002093822e-05,8.19844324205991e-05
389,positions_CM_CAM_CDM,5.317118013092664e-05,6.679126203872529e-05
652,positions_ST_CAM,4.86197420132417e-05,5.4949596284196436e-05
63,club_league_name_A_League_Men,4.738597331946664e-05,6.37588930157315e-05
172,country_of_citizenship_DR_Congo,4.582678814170446e-05,0.00012245227507653994
135,country_of_citizenship_Albania,4.3732575355083035e-05,9.694031190354164e-05
10,Comp_de_Bundesliga,4.020156459290937e-05,5.643057601767785e-05
70,club_league_name_Eliteserien,3.9135887624634307e-05,9.140928598839448e-05
197,country_of_citizenship_Iceland,3.872191412248271e-05,6.887766123085848e-05
551,positions_RB_CB_RM,3.7945177943334306e-05,4.2413372869227995e-05
328,positions_CAM_ST_CM,3.6332799814513675e-05,9.491011436013475e-05
155,country_of_citizenship_Canada,3.577491416218043e-05,7.386345509809579e-05
162,country_of_citizenship_Colombia,3.57573807349936e-05,9.612596745318975e-05
45,Pos_FWMF,3.261327350400826e-05,4.1112592908122605e-05
306,positions_CAM_LM_CM,3.156915133350616e-05,8.340041858726584e-05
