,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
42,Alexandre Mendy,0.6,1.3,2.8,0.17,0.36,0.1,0.2,2023-2024,29,gw GNB,Caen,fr Ligue 2,37,3229,35.9,37,0,0,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.1,0.2,0.0,2.8,0.17,0.36,1.3,47.5,,FW,e067808c
43,Florian Niederlechner,0.6,1.1,2.3,0.27,0.58,1.0,0.1,2023-2024,32,de GER,Hertha BSC,de 2. Bundesliga,26,1028,11.4,12,14,5,0.6,0.0,0.6,0.6,0.0,0.0,0.0,1.0,0.1,0.0,2.3,0.27,0.58,1.1,46.2,,MFFW,d6862409
44,Benedikt Pichler,0.6,1.2,2.8,0.22,0.50,0.4,0.2,2023-2024,26,at AUT,Holstein Kiel,de 2. Bundesliga,22,1183,13.1,15,7,0,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.4,0.2,0.0,2.8,0.22,0.50,1.2,43.2,,FW,c184c8c8
45,Massimo Coda,0.6,1.4,4.1,0.11,0.32,0.2,0.2,2023-2024,34,it ITA,Cremonese,it Serie B,35,2380,26.4,29,6,1,0.6,0.1,0.7,0.5,0.2,0.2,0.0,0.2,0.2,0.0,4.1,0.11,0.32,1.4,34.9,,FW,4c7940d6
46,Dennis Eckert,0.6,1.4,3.4,0.12,0.29,0.3,0.2,2023-2024,26,de GER,Union SG,2 Comps,35,1354,15.0,16,19,5,0.6,0.1,0.7,0.4,0.2,0.2,0.0,0.3,0.2,0.0,3.4,0.12,0.29,1.4,41.2,,FW,7f8fb807
47,Brian Brobbey,0.6,1.4,3.0,0.20,0.42,0.2,0.0,2023-2024,21,nl NED,Ajax,2 Comps,34,2717,30.2,33,1,1,0.6,0.3,0.9,0.6,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.20,0.42,1.4,47.8,,FW,4c184730
48,Alejandro Marqués,0.6,1.2,3.3,0.16,0.44,0.5,0.2,2023-2024,22,ve VEN,Estoril,pt Primeira Liga,31,1361,15.1,13,18,3,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.5,0.2,0.0,3.3,0.16,0.44,1.2,36.0,,FW,83bc30cc
49,Martin Braithwaite,0.6,1.2,3.0,0.14,0.35,0.3,0.1,2023-2024,32,dk DEN,Espanyol,es Segunda División,39,3335,37.1,37,2,0,0.6,0.1,0.6,0.4,0.2,0.2,0.0,0.3,0.1,0.0,3.0,0.14,0.35,1.2,39.1,,FW,fd771f95
50,Aaron Connolly,0.6,1.3,3.0,0.20,0.44,0.2,0.2,2023-2024,23,ie IRL,Hull City,eng Championship,28,1215,13.5,13,15,10,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.20,0.44,1.3,43.9,,FW,27c01749
51,Gift Orban,0.6,1.8,3.9,0.13,0.28,0.4,0.1,2023-2024,21,ng NGA,Gent,2 Comps,22,1219,13.5,13,9,2,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.4,0.1,0.0,3.9,0.13,0.28,1.8,47.2,,FWMF,de17db90
52,Vincent Vermeij,0.6,1.2,2.4,0.23,0.44,0.3,0.2,2023-2024,28,nl NED,Düsseldorf,de 2. Bundesliga,30,1832,20.4,22,8,1,0.6,0.1,0.7,0.5,0.0,0.0,0.0,0.3,0.2,0.0,2.4,0.23,0.44,1.2,52.1,,FW,7e629adc
53,Gustaf Nilsson,0.6,1.2,3.1,0.12,0.31,0.4,0.2,2023-2024,26,se SWE,Union SG,2 Comps,39,2600,28.9,30,9,1,0.6,0.1,0.7,0.4,0.2,0.2,0.0,0.4,0.2,0.0,3.1,0.12,0.31,1.2,38.9,,FW,a7d48b00
54,Jhonder Cádiz,0.6,1.3,3.6,0.13,0.35,0.3,0.0,2023-2024,28,ve VEN,Famalicão,pt Primeira Liga,30,2300,25.6,27,3,0,0.6,0.0,0.6,0.5,0.1,0.2,0.0,0.3,0.0,0.0,3.6,0.13,0.35,1.3,36.6,,FW,e8edfdc9
55,Andi Zeqiri,0.6,1.8,5.1,0.10,0.29,0.3,0.4,2023-2024,24,ch SUI,Genk,2 Comps,34,1232,13.7,12,22,7,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.3,0.4,0.0,5.1,0.10,0.29,1.8,34.3,,FW,d01231f0
56,Pierre-Yves Hamel,0.6,1.1,2.6,0.22,0.53,0.6,0.4,2023-2024,29,fr FRA,Paris FC,fr Ligue 2,21,1240,13.8,15,6,1,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.6,0.4,0.0,2.6,0.22,0.53,1.1,41.7,,FW,a99da9ec
57,Patson Daka,0.6,1.2,3.2,0.10,0.27,0.6,0.2,2023-2024,24,zm ZAM,Leicester City,eng Championship,20,1086,12.1,15,5,15,0.6,0.4,1.0,0.3,0.2,0.2,0.0,0.6,0.2,0.0,3.2,0.10,0.27,1.2,38.5,,FW,ca45605e
