,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
2971,Jan Elvedi,Switzerland,Kaiserslautern,de 2. Bundesliga,DF,31.3,26.5,0.0,0.05,0.05,0.10500000000000001,0.41500000000000004,0.05,1.0,32.0,2817.0,0.0,0.0,0.0,0.4,26.65,0.15000000000000002,31.5,0.5,1.2,1.0,0.0,1.0,0.3,0.1
2972,Dean Cornelius,Scotland,Harrogate Town FC,eng League Two,MF,30.8,22.5,0.05,0.05,0.05,0.09,0.29000000000000004,0.05,1.0,37.0,2774.5,0.0,0.0,0.0,0.55,29.15,0.15000000000000002,32.5,4.5,0.55,4.0,0.0,0.9,0.5,0.1
2973,Andrea Carboni,Italy,Monza,it Serie A,DF,20.4,22.5,0.0,0.05,0.05,0.03,0.125,0.05,1.05,23.5,1839.0,0.0,0.0,0.0,0.7000000000000001,17.35,0.1,20.5,3.0,1.3,7.5,0.0,1.1,0.3,0.0
2974,Alberto Dossena,Italy,Cagliari,it Serie A,DF,26.700000000000003,24.5,0.1,0.15000000000000002,0.05,0.04,0.165,0.05,1.25,29.0,2401.0,0.0,0.0,0.0,0.6499999999999999,29.15,0.2,26.5,2.5,1.05,2.0,0.0,1.1,0.6,0.2
2975,Vadim Rață,Moldova,Voluntari,ro Liga I,MF,21.8,30.5,0.15000000000000002,0.15000000000000002,0.0,0.02,0.085,0.05,0.9500000000000001,29.0,1963.5,0.0,0.05,0.0,0.8,18.6,0.15000000000000002,23.0,6.0,1.35,7.0,0.0,0.8,0.9,0.1
2976,Joel Ordóñez,Ecuador,2 Teams,2 Comps,DF,22.75,19.5,0.05,0.1,0.05,0.04,0.25,0.05,0.8,27.5,2046.0,0.0,0.0,0.0,0.30000000000000004,24.349999999999998,0.1,24.0,3.5,0.8500000000000001,5.5,0.0,0.8,0.4,0.1
2977,Oier Luengo,Spain,Oviedo,es Segunda División,DF,28.25,25.5,0.0,0.1,0.1,0.12,0.395,0.1,0.95,32.0,2542.0,0.0,0.0,0.0,0.6499999999999999,31.3,0.2,29.0,3.0,1.35,7.0,0.1,1.0,0.6,0.2
2978,Roko Jurišić,Croatia,Osijek,hr Hrvatska NL,DF,24.200000000000003,21.5,0.05,0.15000000000000002,0.1,0.16999999999999998,0.41500000000000004,0.1,1.35,25.0,2179.0,0.0,0.0,0.0,0.45,40.2,0.2,24.5,0.5,0.95,0.5,0.1,1.6,0.4,0.2
2979,José Luis Rodríguez,Panama,Famalicão,pt Primeira Liga,MF,20.700000000000003,25.5,0.25,0.30000000000000004,0.1,0.035,0.1,0.1,0.8,27.0,1861.5,0.0,0.0,0.0,1.8,38.35,0.7,21.5,5.5,0.9,0.5,0.1,0.9,1.8,0.7
2980,Josh Woods,England,Accrington Stanley,eng League Two,FWMF,16.65,23.5,0.1,0.25,0.2,0.1,0.26,0.2,0.5,31.5,1500.0,0.0,0.0,0.0,1.85,35.85,0.6499999999999999,14.5,17.0,0.6,6.5,0.3,0.5,1.7,0.7
