,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
6306,Răzvan Oaidă,Romania,Rapid București,ro Liga I,MF,26.2,25.0,0.1,0.2,0.0,0.03,0.14,0.0,1.4,36.0,2362.0,0.0,0.0,0.0,1.1,24.1,0.3,27.0,9.0,1.8,0.0,,,,
6307,Tiago Santos,Portugal,Lille,fr Ligue 1,DF,26.3,21.0,0.1,0.1,0.0,0.03,0.14,0.0,0.5,29.0,2365.0,0.0,0.0,0.0,1.3,21.2,0.3,26.0,3.0,1.5,4.0,,,,
6308,Richard Keogh,Republic of Ireland,2 Teams,2 Comps,DF,26.3,36.0,0.0,0.0,0.0,0.2,1.0,0.0,0.9,32.0,2366.0,0.0,0.0,0.0,0.2,20.0,0.0,26.0,6.0,0.5,7.0,,,,
6309,Mihai Lixandru,Romania,FCSB,ro Liga I,MFDF,26.3,22.0,0.0,0.0,0.0,0.06,0.25,0.0,1.2,34.0,2369.0,0.0,0.0,0.0,0.7,22.2,0.2,26.0,8.0,1.3,5.0,,,,
6310,Marcello Falzerano,Italy,Ascoli,it Serie B,MF,26.3,32.0,0.1,0.1,0.0,0.05,0.25,0.0,1.0,33.0,2369.0,0.0,0.0,0.0,0.8,18.2,0.2,27.0,6.0,1.6,0.0,,,,
6311,Pierre Dwomoh,Belgium,RWDM,be Belgian Pro League,MF,26.4,19.0,0.0,0.1,0.0,0.07,0.33,0.0,1.1,30.0,2379.0,0.0,0.0,0.0,0.5,21.4,0.1,28.0,2.0,1.4,0.0,,,,
6312,Tomás Alarcón,Chile,Cartagena,es Segunda División,MF,26.5,24.0,0.0,0.1,0.0,0.04,0.11,0.0,1.0,35.0,2388.0,0.0,0.0,0.0,0.9,36.0,0.3,29.0,6.0,0.9,2.0,,,,
6313,Mathys Tourraine,France,Grenoble Foot,fr Ligue 2,DF,26.6,22.0,0.0,0.1,0.0,0.17,0.5,0.0,2.1,30.0,2394.0,0.0,0.0,0.0,0.2,33.3,0.1,27.0,3.0,2.6,6.0,,,,
6314,Yan Brice Eteki,Cameroon,Alcorcón,es Segunda División,MF,26.6,25.0,0.0,0.0,0.0,0.06,0.5,0.0,0.9,32.0,2398.0,0.0,0.0,0.0,0.7,11.1,0.1,31.0,1.0,1.5,6.0,,,,
6315,Jefferson Lerma,Colombia,Crystal Palace,eng Premier League,MFDF,26.7,28.0,0.0,0.1,0.0,0.03,0.11,0.0,1.4,28.0,2400.0,0.0,0.0,0.0,1.3,26.5,0.3,27.0,1.0,0.9,0.0,,,,
6316,Floris Smand,Netherlands,Cambuur,nl Eerste Divisie,DF,26.9,20.0,0.0,0.1,0.0,0.13,0.25,0.0,2.0,32.0,2417.0,0.0,0.0,0.0,0.3,50.0,0.1,28.0,4.0,0.9,4.0,,,,
6317,Tommaso Augello,Italy,Cagliari,it Serie A,DFMF,26.9,28.0,0.0,0.1,0.0,0.1,0.33,0.0,0.5,32.0,2418.0,0.0,0.0,0.0,0.4,30.0,0.1,28.0,4.0,0.7,4.0,,,,
6318,Jason Davidson,Australia,Eupen,be Belgian Pro League,DFMF,26.9,32.0,0.0,0.0,0.0,0.11,0.33,0.0,1.0,29.0,2420.0,0.0,0.0,0.0,0.3,33.3,0.1,27.0,2.0,1.2,1.0,,,,
6319,Bruno Martella,Italy,FeralpiSalò,it Serie B,DFMF,26.9,30.0,0.1,0.1,0.0,0.05,0.25,0.0,1.3,29.0,2423.0,0.0,0.0,0.0,0.8,18.2,0.1,28.0,1.0,0.6,2.0,,,,
6320,Finley Stevens,Wales,Oxford United,eng League One,DFMF,27.0,20.0,0.1,0.1,0.0,0.05,0.2,0.0,1.5,34.0,2427.0,0.0,0.0,0.0,0.7,26.3,0.2,28.0,6.0,1.3,4.0,,,,
6321,Finn Surman,New Zealand,Wellington Phoenix,au A-League Men,DF,27.0,19.0,0.0,0.0,0.0,0.09,0.2,0.0,0.8,27.0,2430.0,0.0,0.0,0.0,0.4,45.5,0.2,27.0,0.0,0.4,0.0,,,,
6322,Tanguy Zoukrou,France,Troyes,fr Ligue 2,DF,27.0,20.0,0.0,0.0,0.0,0.13,0.5,0.0,0.8,31.0,2430.0,0.0,0.0,0.0,0.3,25.0,0.1,27.0,4.0,0.5,2.0,,,,
6323,Rico Benatelli,Germany,SK Austria Klagenfurt,at Austrian Bundesliga,MF,27.0,31.0,0.0,0.0,0.0,0.1,1.0,0.0,1.9,31.0,2434.0,0.0,0.0,0.0,0.4,10.0,0.0,29.0,2.0,1.5,1.0,,,,
6324,Jorge Filipe Oliveira Fernandes,Portugal,Vitória Guimarães,pt Primeira Liga,DF,27.1,26.0,0.0,0.1,0.0,0.06,0.25,0.0,1.0,29.0,2437.0,0.0,0.0,0.0,0.6,23.5,0.1,28.0,1.0,1.5,2.0,,,,
6325,Mamadou Loum,Senegal,Al-Raed,sa Saudi Pro League,DFMF,27.1,26.0,0.0,0.0,0.0,0.05,0.2,0.0,0.6,29.0,2438.0,0.0,0.0,0.0,0.8,23.8,0.2,27.0,2.0,0.6,0.0,,,,
6326,Danilo,Brazil,Juventus,it Serie A,DF,27.2,32.0,0.0,0.1,0.0,0.06,0.5,0.0,1.3,29.0,2452.0,0.0,0.0,0.0,0.6,11.8,0.1,27.0,2.0,1.3,1.0,,,,
6327,Ryan McGowan,Australia,St Johnstone,sct Scottish Premiership,DF,27.3,33.0,0.0,0.0,0.0,0.08,0.5,0.0,1.5,29.0,2461.0,0.0,0.0,0.0,0.4,16.7,0.1,27.0,2.0,1.4,1.0,,,,
6328,Giovanni González,Uruguay,Mallorca,es La Liga,DF,27.4,28.0,0.0,0.1,0.0,0.07,0.25,0.0,1.0,34.0,2464.0,0.0,0.0,0.0,0.5,28.6,0.1,27.0,7.0,1.6,3.0,,,,
6329,Kian Hansen,Denmark,Nordsjælland,dk Danish Superliga,DF,27.4,34.0,0.0,0.1,0.0,0.07,0.17,0.0,0.3,29.0,2470.0,0.0,0.0,0.0,0.5,40.0,0.2,29.0,0.0,0.5,0.0,,,,
6330,Joel Nouble,England,Livingston,sct Scottish Premiership,MFFW,27.7,27.0,0.1,0.1,0.0,0.04,0.1,0.0,0.1,32.0,2490.0,0.0,0.0,0.0,0.8,43.5,0.4,28.0,4.0,0.5,1.0,,,,
6331,Ibane Bowat,Scotland,Hartberg,at Austrian Bundesliga,DF,27.7,20.0,0.0,0.0,0.0,0.09,1.0,0.0,1.8,29.0,2493.0,0.0,0.0,0.0,0.4,9.1,0.0,29.0,0.0,0.8,0.0,,,,
6332,Alvaro Sanz,Spain,CD Mirandés,es Segunda División,MF,27.8,22.0,0.1,0.1,0.0,0.09,0.5,0.0,0.7,41.0,2501.0,0.0,0.0,0.0,0.4,18.2,0.1,28.0,13.0,1.0,1.0,,,,
6333,Khalid Al Subaie,Saudi Arabia,Al-Raed,sa Saudi Pro League,MFDF,27.8,23.0,0.2,0.3,0.0,0.05,0.25,0.0,0.7,31.0,2503.0,0.0,0.0,0.0,0.7,20.0,0.1,27.0,4.0,1.3,2.0,,,,
6334,Brandon Baiye,Belgium,Eupen,be Belgian Pro League,MF,27.9,22.0,0.0,0.0,0.0,0.13,0.5,0.0,1.7,34.0,2508.0,0.0,0.0,0.0,0.3,25.0,0.1,29.0,5.0,2.3,2.0,,,,
6335,Gastón Silva,Uruguay,Puebla,mx Liga MX,DF,27.9,29.0,0.0,0.0,0.0,0.07,0.17,0.0,0.6,29.0,2510.0,0.0,0.0,0.0,0.5,42.9,0.2,28.0,1.0,1.2,3.0,,,,
6336,Alessandro Circati,Australia,Parma,it Serie B,DF,28.1,19.0,0.0,0.0,0.0,0.13,0.25,0.0,1.0,29.0,2527.0,0.0,0.0,0.0,0.3,50.0,0.1,28.0,1.0,0.6,8.0,,,,
6337,Adamo Nagalo,Burkina Faso,Nordsjælland,dk Danish Superliga,DF,28.1,20.0,0.0,0.0,0.0,0.1,0.5,0.0,0.9,31.0,2527.0,0.0,0.0,0.0,0.4,20.0,0.1,28.0,3.0,0.7,0.0,,,,
6338,Ali Yasar,Belgium,İstanbulspor,tr Süper Lig,DFMF,28.1,28.0,0.1,0.1,0.0,0.04,0.13,0.0,1.4,34.0,2531.0,0.0,0.0,0.0,0.9,33.3,0.3,29.0,5.0,0.6,2.0,,,,
6339,Didier Ibrahim Ndong,Gabon,Al-Riyadh SC,sa Saudi Pro League,MF,28.1,29.0,0.0,0.1,0.0,0.08,0.2,0.0,1.0,30.0,2533.0,0.0,0.0,0.0,0.4,41.7,0.2,29.0,1.0,1.3,0.0,,,,
6340,Pius Krätschmer,Germany,Helmond Sport,nl Eerste Divisie,DF,28.2,26.0,0.1,0.1,0.0,0.1,0.33,0.0,1.6,30.0,2534.0,0.0,0.0,0.0,0.4,30.0,0.1,29.0,1.0,0.9,0.0,,,,
6341,Marvin Ekpiteta,England,Blackpool,eng League One,DF,28.2,27.0,0.0,0.0,0.0,0.08,0.2,0.0,1.1,31.0,2541.0,0.0,0.0,0.0,0.5,38.5,0.2,28.0,3.0,0.9,10.0,,,,
6342,Gabriel,Brazil,Dinamo București,ro Liga I,MFDF,28.3,35.0,0.0,0.0,0.0,0.14,0.5,0.0,0.8,32.0,2543.0,0.0,0.0,0.0,0.2,28.6,0.1,28.0,4.0,0.8,2.0,,,,
6343,Anthony Briançon,France,Saint-Étienne,fr Ligue 2,DF,28.3,28.0,0.0,0.0,0.0,0.06,0.5,0.0,1.6,32.0,2544.0,0.0,0.0,0.0,0.6,12.5,0.1,29.0,3.0,0.5,2.0,,,,
6344,Giorgio Scalvini,Italy,Atalanta,it Serie A,DF,28.3,19.0,0.1,0.1,0.0,0.05,0.17,0.0,2.0,33.0,2544.0,0.0,0.0,0.0,0.7,31.6,0.2,31.0,2.0,1.1,0.0,,,,
6345,Andrea Papetti,Italy,Brescia,it Serie B,DF,28.3,21.0,0.1,0.1,0.0,0.13,0.5,0.0,1.2,33.0,2551.0,0.0,0.0,0.0,0.3,25.0,0.1,28.0,5.0,1.1,5.0,,,,
6346,Lucas Woudenberg,Netherlands,Valenciennes,fr Ligue 2,DF,28.4,29.0,0.0,0.0,0.0,0.11,0.33,0.0,1.2,31.0,2553.0,0.0,0.0,0.0,0.3,33.3,0.1,28.0,3.0,0.9,3.0,,,,
6347,Nicolò Cambiaghi,Italy,Empoli,it Serie A,FWMF,28.4,22.0,0.0,0.1,0.0,0.01,0.06,0.0,0.5,37.0,2553.0,0.0,0.0,0.0,2.5,23.9,0.6,29.0,8.0,1.4,0.0,,,,
6348,Toni Moya,Spain,Zaragoza,es Segunda División,MF,28.5,25.0,0.1,0.2,0.0,0.02,0.09,0.0,0.5,36.0,2568.0,0.0,0.0,0.0,1.6,24.4,0.4,29.0,7.0,1.4,3.0,,,,
6349,Tobias Slotsager,Denmark,Odense,dk Danish Superliga,DF,28.6,17.0,0.0,0.0,0.0,0.1,0.25,0.0,0.6,30.0,2573.0,0.0,0.0,0.0,0.3,40.0,0.1,30.0,0.0,0.9,0.0,,,,
6350,Anthony Losilla,France,Bochum,de Bundesliga,MF,28.6,37.0,0.1,0.1,0.0,0.04,0.17,0.0,0.8,31.0,2576.0,0.0,0.0,0.0,0.9,22.2,0.2,31.0,0.0,1.3,0.0,,,,
6351,Anthony Jung,Germany,Werder Bremen,de Bundesliga,DFMF,28.7,31.0,0.0,0.0,0.0,0.2,1.0,0.0,0.9,31.0,2579.0,0.0,0.0,0.0,0.2,20.0,0.0,30.0,1.0,0.9,1.0,,,,
6352,Sergio Barreto,Argentina,Pachuca,mx Liga MX,DF,28.8,24.0,0.1,0.1,0.0,0.05,0.25,0.0,1.6,30.0,2596.0,0.0,0.0,0.0,0.8,18.2,0.1,28.0,2.0,1.4,1.0,,,,
6353,Ibrahim Al Nakhli,Saudi Arabia,Al-Ta'ee,sa Saudi Pro League,DF,28.9,26.0,0.0,0.0,0.0,0.13,0.5,0.0,1.7,32.0,2601.0,0.0,0.0,0.0,0.3,25.0,0.1,29.0,3.0,1.1,0.0,,,,
6354,Rodney Kongolo,Netherlands,Roda JC,nl Eerste Divisie,MF,28.9,25.0,0.1,0.1,0.0,0.06,0.25,0.0,1.1,32.0,2603.0,0.0,0.0,0.0,0.6,23.5,0.1,30.0,2.0,1.0,1.0,,,,
6355,Paul McGinn,Scotland,Motherwell,sct Scottish Premiership,DFMF,29.0,32.0,0.0,0.0,0.0,0.08,0.25,0.0,1.0,31.0,2608.0,0.0,0.0,0.0,0.4,33.3,0.1,29.0,2.0,1.2,0.0,,,,
6356,Aleksei Gritsayenko,Russia,Rubin Kazan,ru Russian Premier League,DF,29.0,28.0,0.1,0.1,0.0,0.11,0.33,0.0,1.4,29.0,2610.0,0.0,0.0,0.0,0.3,33.3,0.1,29.0,0.0,0.7,0.0,,,,
6357,Sven van Beek,Netherlands,Heerenveen,nl Eredivisie,DF,29.1,29.0,0.0,0.1,0.0,0.07,0.2,0.0,1.9,30.0,2617.0,0.0,0.0,0.0,0.5,33.3,0.2,30.0,0.0,1.3,0.0,,,,
6358,Martin Erlic,Croatia,Sassuolo,it Serie A,DF,29.1,25.0,0.0,0.0,0.0,0.13,0.33,0.0,0.9,32.0,2618.0,0.0,0.0,0.0,0.3,37.5,0.1,31.0,1.0,0.8,3.0,,,,
6359,Ivan Šunjić,Bosnia and Herzegovina,Birmingham City,eng Championship,MF,29.2,26.0,0.1,0.1,0.0,0.05,0.2,0.0,1.7,36.0,2629.0,0.0,0.0,0.0,0.7,26.3,0.2,31.0,5.0,1.3,10.0,,,,
6360,Enzo Roco,Chile,Al-Ta'ee,sa Saudi Pro League,DF,29.2,30.0,0.0,0.0,0.0,0.08,0.25,0.0,0.9,30.0,2631.0,0.0,0.0,0.0,0.4,30.8,0.1,30.0,0.0,0.7,0.0,,,,
6361,Kürşad Sürmeli,Netherlands,ADO Den Haag,nl Eerste Divisie,MFDF,29.2,27.0,0.1,0.1,0.0,0.05,0.25,0.0,0.7,32.0,2632.0,0.0,0.0,0.0,0.6,21.1,0.1,32.0,0.0,1.1,0.0,,,,
6362,Jordan Moore-Taylor,England,Forest Green Rovers,eng League Two,DF,29.3,29.0,0.0,0.0,0.0,0.07,0.25,0.0,1.2,32.0,2633.0,0.0,0.0,0.0,0.5,26.7,0.1,31.0,1.0,1.6,0.0,,,,
6363,Stephen Kingsley,Scotland,Hearts,sct Scottish Premiership,DF,29.3,29.0,0.0,0.0,0.0,0.04,0.2,0.0,0.5,33.0,2636.0,0.0,0.0,0.0,0.8,20.8,0.2,30.0,3.0,0.7,1.0,,,,
6364,Oliver Norburn,Grenada,Blackpool,eng League One,MF,29.3,30.0,0.1,0.1,0.0,0.1,0.5,0.0,1.4,34.0,2639.0,0.0,0.0,0.0,0.3,20.0,0.1,31.0,3.0,1.4,1.0,,,,
6365,Jung Woo-young,South Korea,Al-Khaleej,sa Saudi Pro League,MF,29.4,33.0,0.0,0.0,0.0,0.05,0.2,0.0,1.5,31.0,2649.0,0.0,0.0,0.0,0.7,25.0,0.2,31.0,0.0,1.0,0.0,,,,
6366,Jesús Areso,Spain,Osasuna,es La Liga,DFMF,29.6,24.0,0.2,0.2,0.0,0.11,0.5,0.0,0.7,37.0,2660.0,0.0,0.0,0.0,0.3,22.2,0.1,29.0,8.0,0.9,1.0,,,,
6367,Jake Clarke-Salter,England,Queens Park Rangers,eng Championship,DF,29.6,25.0,0.0,0.1,0.0,0.07,0.33,0.0,0.9,33.0,2667.0,0.0,0.0,0.0,0.5,21.4,0.1,29.0,4.0,1.4,7.0,,,,
6368,Nermin Zolotić,Bosnia and Herzegovina,Casa Pia,pt Primeira Liga,DF,29.7,30.0,0.0,0.0,0.0,0.13,0.33,0.0,1.0,31.0,2671.0,0.0,0.0,0.0,0.3,37.5,0.1,30.0,1.0,1.0,1.0,,,,
6369,Mads Enggård,Denmark,Randers,dk Danish Superliga,MF,29.7,19.0,0.1,0.1,0.0,0.05,0.33,0.0,0.9,31.0,2674.0,0.0,0.0,0.0,0.7,13.6,0.1,31.0,0.0,1.3,0.0,,,,
6370,Iago Santos,Brazil,Al-Shabab,sa Saudi Pro League,DF,29.8,31.0,0.1,0.1,0.0,0.06,0.5,0.0,1.1,30.0,2681.0,0.0,0.0,0.0,0.5,12.5,0.1,30.0,0.0,1.3,0.0,,,,
6371,Aaron Appindangoyé,Gabon,Sivasspor,tr Süper Lig,DF,29.9,31.0,0.0,0.1,0.0,0.09,0.2,0.0,0.9,31.0,2687.0,0.0,0.0,0.0,0.4,45.5,0.2,30.0,1.0,0.3,3.0,,,,
6372,Nicola Pavan,Italy,Cittadella,it Serie B,DF,30.0,30.0,0.0,0.1,0.0,0.07,0.33,0.0,1.0,31.0,2702.0,0.0,0.0,0.0,0.5,21.4,0.1,30.0,1.0,0.7,1.0,,,,
6373,Harvey Bunker,England,Forest Green Rovers,eng League Two,MFDF,30.0,20.0,0.0,0.1,0.0,0.03,0.17,0.0,1.7,42.0,2704.0,0.0,0.0,0.0,1.1,18.8,0.2,31.0,11.0,1.2,3.0,,,,
6374,Saidou Khan,Gambia,Swindon Town,eng League Two,MF,30.2,27.0,0.1,0.1,0.0,0.04,0.14,0.0,0.7,31.0,2714.0,0.0,0.0,0.0,0.8,28.0,0.2,31.0,0.0,0.9,0.0,,,,
6375,Simone Romagnoli,Italy,Frosinone,it Serie A,DF,30.2,33.0,0.0,0.1,0.0,0.08,1.0,0.0,0.9,33.0,2715.0,0.0,0.0,0.0,0.4,8.3,0.0,30.0,3.0,0.6,3.0,,,,
6376,Brandon Comley,Montserrat,Walsall,eng League Two,MF,30.2,27.0,0.0,0.0,0.0,0.05,0.5,0.0,1.5,33.0,2716.0,0.0,0.0,0.0,0.7,10.0,0.1,31.0,2.0,1.2,1.0,,,,
6377,Tennai Watson,England,Charlton Athletic,eng League One,MFDF,30.3,26.0,0.1,0.2,0.0,0.11,0.33,0.0,1.0,34.0,2726.0,0.0,0.0,0.0,0.3,33.3,0.1,33.0,1.0,1.4,1.0,,,,
6378,Seb Revan,England,Rotherham United,eng Championship,DFMF,30.4,20.0,0.1,0.1,0.0,0.04,0.17,0.0,0.9,36.0,2733.0,0.0,0.0,0.0,0.8,25.0,0.2,28.0,8.0,1.2,2.0,,,,
6379,Germán Sánchez,Spain,Racing Sant,es Segunda División,DF,30.4,36.0,0.0,0.1,0.0,0.06,0.33,0.0,0.9,33.0,2733.0,0.0,0.0,0.0,0.5,18.8,0.1,32.0,1.0,0.5,8.0,,,,
6380,Ricardo Henning,Germany,Den Bosch,nl Eerste Divisie,DF,30.4,22.0,0.0,0.1,0.0,0.11,0.33,0.0,0.7,36.0,2736.0,0.0,0.0,0.0,0.3,33.3,0.1,31.0,5.0,0.8,1.0,,,,
6381,Sean Raggett,England,Portsmouth,eng League One,DF,30.5,30.0,0.0,0.1,0.0,0.04,0.1,0.0,0.6,38.0,2745.0,0.0,0.0,0.0,0.8,41.7,0.3,30.0,8.0,0.4,5.0,,,,
6382,Maxwell Gyamfi,Germany,Osnabrück,de 2. Bundesliga,DF,30.6,23.0,0.0,0.0,0.0,0.08,0.25,0.0,0.8,32.0,2754.0,0.0,0.0,0.0,0.4,30.8,0.1,30.0,2.0,0.9,0.0,,,,
6383,Germán Pezzella,Argentina,Real Betis,es La Liga,DF,30.7,32.0,0.0,0.0,0.0,0.04,0.2,0.0,1.0,32.0,2767.0,0.0,0.0,0.0,0.7,21.7,0.2,32.0,0.0,0.8,1.0,,,,
6384,Saba Kvirkvelia,Georgia,Al Okhdood SC,sa Saudi Pro League,DF,30.9,31.0,0.0,0.1,0.0,0.08,1.0,0.0,1.3,33.0,2784.0,0.0,0.0,0.0,0.4,8.3,0.0,32.0,1.0,0.7,0.0,,,,
6385,Valentin Ticu,Romania,Petrolul Ploiești,ro Liga I,DFMF,30.9,22.0,0.1,0.2,0.0,0.04,0.14,0.0,1.1,32.0,2785.0,0.0,0.0,0.0,0.8,26.9,0.2,32.0,0.0,0.5,0.0,,,,
6386,Vlad Achim,Romania,FC U Craiova,ro Liga I,MF,31.1,34.0,0.0,0.0,0.0,0.05,0.17,0.0,1.2,38.0,2797.0,0.0,0.0,0.0,0.7,27.3,0.2,30.0,8.0,0.8,0.0,,,,
6387,Unai Núñez,Spain,Celta Vigo,es La Liga,DF,31.1,26.0,0.0,0.0,0.0,0.05,0.2,0.0,1.6,34.0,2801.0,0.0,0.0,0.0,0.7,22.7,0.2,31.0,3.0,1.0,4.0,,,,
6388,Oliver Bundgaard,Denmark,Viborg,dk Danish Superliga,DF,31.3,22.0,0.0,0.1,0.0,0.04,0.2,0.0,0.9,32.0,2817.0,0.0,0.0,0.0,0.8,20.8,0.2,32.0,0.0,1.3,0.0,,,,
6389,Alfa Semedo,Guinea-Bissau,Al-Ta'ee,sa Saudi Pro League,MF,31.4,25.0,0.1,0.1,0.0,0.02,0.05,0.0,1.0,32.0,2822.0,0.0,0.0,0.0,1.9,33.9,0.6,32.0,0.0,1.3,1.0,,,,
6390,Matisse Didden,Belgium,Roda JC,nl Eerste Divisie,DF,31.4,21.0,0.0,0.1,0.0,0.05,0.17,0.0,1.5,32.0,2829.0,0.0,0.0,0.0,0.6,31.6,0.2,32.0,0.0,0.8,0.0,,,,
6391,Yohan Bilingi,France,USL Dunkerque,fr Ligue 2,DF,31.6,24.0,0.0,0.1,0.0,0.06,0.17,0.0,0.7,32.0,2841.0,0.0,0.0,0.0,0.5,37.5,0.2,32.0,0.0,0.8,2.0,,,,
6392,Joël Schingtienne,Belgium,OH Leuven,be Belgian Pro League,DF,31.6,20.0,0.0,0.0,0.0,0.17,0.5,0.0,1.0,35.0,2841.0,0.0,0.0,0.0,0.2,33.3,0.1,31.0,4.0,1.2,4.0,,,,
6393,Jop van den Avert,Netherlands,Dordrecht,nl Eerste Divisie,DF,31.7,23.0,0.1,0.1,0.0,0.33,0.5,0.0,1.4,34.0,2854.0,0.0,0.0,0.0,0.1,66.7,0.1,34.0,0.0,0.6,2.0,,,,
6394,Flávio,Brazil,Al-Taawoun,sa Saudi Pro League,MF,31.7,27.0,0.1,0.1,0.0,0.03,0.14,0.0,0.7,32.0,2856.0,0.0,0.0,0.0,0.9,24.1,0.2,32.0,0.0,1.9,0.0,,,,
6395,Cuco Martina,Curacao,NAC Breda,nl Eerste Divisie,DF,31.8,33.0,0.0,0.0,0.0,0.17,1.0,0.0,1.5,32.0,2864.0,0.0,0.0,0.0,0.2,16.7,0.0,32.0,0.0,0.6,0.0,,,,
6396,Juan Berrocal,Spain,Eibar,es Segunda División,DF,31.9,24.0,0.0,0.0,0.0,0.11,0.33,0.0,1.2,34.0,2875.0,0.0,0.0,0.0,0.3,33.3,0.1,34.0,0.0,0.5,2.0,,,,
6397,Gonçalo Silva,Portugal,Farense,pt Primeira Liga,DF,32.0,32.0,0.0,0.0,0.0,0.07,0.17,0.0,1.3,33.0,2876.0,0.0,0.0,0.0,0.4,42.9,0.2,33.0,0.0,0.6,0.0,,,,
6398,Rav van den Berg,Netherlands,Middlesbrough,eng Championship,DF,32.1,19.0,0.0,0.0,0.0,0.08,0.2,0.0,1.3,34.0,2891.0,0.0,0.0,0.0,0.4,41.7,0.2,33.0,1.0,0.9,6.0,,,,
6399,Alessandro Marcandalli,Italy,Reggiana,it Serie B,DF,32.4,20.0,0.0,0.1,0.0,0.1,0.5,0.0,1.6,35.0,2913.0,0.0,0.0,0.0,0.3,20.0,0.1,35.0,0.0,1.0,1.0,,,,
6400,Robert Bauer,Germany,Al-Ta'ee,sa Saudi Pro League,DFMF,32.5,28.0,0.1,0.1,0.0,0.14,0.5,0.0,1.4,33.0,2925.0,0.0,0.0,0.0,0.2,28.6,0.1,33.0,0.0,0.6,0.0,,,,
6401,Gethin Jones,Australia,Bolton Wanderers,eng League One,DF,32.9,27.0,0.0,0.0,0.0,0.06,0.5,0.0,0.3,34.0,2958.0,0.0,0.0,0.0,0.5,11.8,0.1,34.0,0.0,0.7,0.0,,,,
6402,Jamilu Collins,Nigeria,Cardiff City,eng Championship,DF,33.2,28.0,0.1,0.2,0.0,0.08,0.25,0.0,2.0,36.0,2984.0,0.0,0.0,0.0,0.4,33.3,0.1,33.0,3.0,2.2,4.0,,,,
6403,Jules Gaudin,France,Paris FC,fr Ligue 2,DFMF,33.3,23.0,0.1,0.1,0.0,0.07,0.25,0.0,1.4,36.0,2993.0,0.0,0.0,0.0,0.5,26.7,0.1,35.0,1.0,1.5,0.0,,,,
6404,Jonathan Gomez,United States,CD Mirandés,es Segunda División,DFMF,33.3,19.0,0.1,0.2,0.0,0.07,1.0,0.0,0.9,38.0,2994.0,0.0,0.0,0.0,0.4,7.1,0.0,32.0,6.0,1.1,3.0,,,,
6405,Robin Heußer,Germany,Wehen Wiesbaden,de 2. Bundesliga,MF,33.3,25.0,0.2,0.2,0.0,0.02,0.11,0.0,1.4,34.0,2994.0,0.0,0.0,0.0,1.3,20.5,0.3,34.0,0.0,1.7,0.0,,,,
6406,Peter Kioso,DR Congo,2 Teams,2 Comps,DFMF,33.8,24.0,0.1,0.1,0.0,0.04,0.09,0.0,0.7,36.0,3043.0,0.0,0.0,0.0,0.8,39.3,0.3,35.0,1.0,1.5,0.0,,,,
6407,Nuno Sequeira,Portugal,Pendikspor,tr Süper Lig,DF,34.1,32.0,0.1,0.1,0.0,0.07,0.25,0.0,1.1,35.0,3066.0,0.0,0.0,0.0,0.4,26.7,0.1,34.0,1.0,1.6,0.0,,,,
6408,Donervon Daniels,Montserrat,Walsall,eng League Two,DF,34.5,29.0,0.1,0.1,0.0,0.03,0.17,0.0,1.1,35.0,3104.0,0.0,0.0,0.0,0.9,19.4,0.2,35.0,0.0,0.8,3.0,,,,
6409,Levent Mercan,Germany,Fatih Karagümrük,tr Süper Lig,DF,34.5,22.0,0.1,0.2,0.0,0.07,1.0,0.0,1.1,36.0,3109.0,0.0,0.0,0.0,0.4,7.1,0.0,35.0,1.0,1.4,0.0,,,,
6410,Curtis Davies,Sierra Leone,Cheltenham Town,eng League One,DF,34.6,38.0,0.0,0.1,0.0,0.03,0.17,0.0,1.6,37.0,3111.0,0.0,0.0,0.0,0.8,20.7,0.2,36.0,1.0,1.0,3.0,,,,
6411,Michael Rose,Scotland,Stoke City,eng Championship,DF,34.9,27.0,0.0,0.0,0.0,0.05,0.5,0.0,1.3,37.0,3138.0,0.0,0.0,0.0,0.6,10.0,0.1,35.0,2.0,0.8,5.0,,,,
6412,Cristian Săpunaru,Romania,Rapid București,ro Liga I,DF,35.1,39.0,0.0,0.1,0.0,0.07,0.2,0.0,0.7,37.0,3157.0,0.0,0.0,0.0,0.4,35.7,0.1,36.0,1.0,0.6,3.0,,,,
6413,Jean Seri,Ivory Coast,Hull City,eng Championship,MF,35.3,32.0,0.1,0.1,0.0,0.04,0.2,0.0,0.8,39.0,3176.0,0.0,0.0,0.0,0.8,17.9,0.1,39.0,0.0,0.9,0.0,,,,
6414,Patricio Matricardi,Argentina,Voluntari,ro Liga I,DF,35.5,29.0,0.0,0.1,0.0,0.08,0.14,0.0,1.5,36.0,3196.0,0.0,0.0,0.0,0.3,58.3,0.2,36.0,0.0,1.4,1.0,,,,
6415,Nihad Mujakić,Bosnia and Herzegovina,Ankaragücü,tr Süper Lig,DF,35.6,25.0,0.0,0.1,0.0,0.14,1.0,0.0,1.2,36.0,3200.0,0.0,0.0,0.0,0.2,14.3,0.0,36.0,0.0,0.9,0.0,,,,
