,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min▼,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
29,Fashion Sakala,0.6,1.4,3.5,0.16,0.40,0.4,0.2,2023-2024,26,zm ZAM,Al-Fayha,sa Saudi Pro League,31,2691,29.9,30,1,0,0.6,0.2,0.8,0.6,0.1,0.1,0.0,0.4,0.2,0.0,3.5,0.16,0.40,1.4,40.0,,FWMF,be6a794c
30,Lautaro Martínez,0.8,1.6,3.7,0.20,0.47,0.5,0.6,2023-2024,25,ar ARG,Inter,it Serie A,33,2656,29.5,31,2,2,0.8,0.1,0.9,0.7,0.1,0.1,0.0,0.5,0.6,0.0,3.7,0.20,0.47,1.6,43.1,,FW,f7036e1c
31,Cristiano Ronaldo,1.2,2.4,6.2,0.15,0.38,0.2,0.0,2023-2024,38,pt POR,Al-Nassr,sa Saudi Pro League,31,2645,29.4,30,1,0,1.2,0.4,1.6,0.9,0.3,0.3,0.0,0.2,0.0,0.0,6.2,0.15,0.38,2.4,39.8,,FW,dea698d9
32,Robert Glatzel,0.7,1.6,3.6,0.19,0.42,0.3,0.1,2023-2024,29,de GER,Hamburger SV,de 2. Bundesliga,32,2642,29.4,30,2,0,0.7,0.1,0.9,0.7,0.1,0.1,0.0,0.3,0.1,0.0,3.6,0.19,0.42,1.6,45.7,,FW,18a9efe4
33,Haris Tabakovic,0.7,1.6,3.2,0.19,0.38,0.2,0.1,2023-2024,29,ba BIH,2 Teams,2 Comps,33,2642,29.4,30,3,0,0.7,0.2,1.0,0.6,0.1,0.2,0.0,0.2,0.1,0.0,3.2,0.19,0.38,1.6,50.5,,FW,723b19c7
34,Jonathan David,0.7,1.6,2.7,0.22,0.36,0.6,0.3,2023-2024,23,ca CAN,Lille,fr Ligue 1,34,2629,29.2,30,4,0,0.7,0.1,0.8,0.6,0.1,0.1,0.0,0.6,0.3,0.0,2.7,0.22,0.36,1.6,59.5,,FW,ce50fd99
35,Pierre-Emerick Aubameyang,0.6,1.8,4.0,0.11,0.25,0.5,0.3,2023-2024,34,ga GAB,Marseille,fr Ligue 1,34,2622,29.1,30,4,0,0.6,0.3,0.9,0.4,0.1,0.1,0.0,0.5,0.3,0.0,4.0,0.11,0.25,1.8,44.0,,FW,d5dd5f1f
36,Cole Palmer,0.8,1.6,3.7,0.12,0.28,0.4,0.7,2023-2024,21,eng ENG,2 Teams,eng Premier League,34,2618,29.1,29,5,2,0.8,0.4,1.1,0.4,0.3,0.3,0.0,0.4,0.7,0.0,3.7,0.12,0.28,1.6,42.6,,MFFW,dc7f8a28
37,Artem Dovbyk,0.8,1.6,3.0,0.20,0.37,0.1,0.0,2023-2024,26,ua UKR,Girona,es La Liga,36,2587,28.7,32,4,0,0.8,0.3,1.1,0.6,0.2,0.3,0.0,0.1,0.0,0.0,3.0,0.20,0.37,1.6,54.1,,FW,5b847bb0
38,Florinel Coman,0.6,2.4,4.2,0.12,0.22,0.3,0.2,2023-2024,25,ro ROU,FCSB,ro Liga I,34,2575,28.6,31,3,0,0.6,0.3,1.0,0.5,0.1,0.1,0.0,0.3,0.2,0.0,4.2,0.12,0.22,2.4,56.2,,FWMF,a9440c25
39,Erling Haaland,1.0,2.1,4.3,0.17,0.34,0.1,0.1,2023-2024,23,no NOR,Manchester City,eng Premier League,31,2552,28.4,29,2,1,1.0,0.2,1.1,0.7,0.2,0.3,0.0,0.1,0.1,0.0,4.3,0.17,0.34,2.1,48.8,,FWMF,1f44ac21
40,Mohamed Salah,0.6,2.0,4.0,0.11,0.23,0.4,0.1,2023-2024,31,eg EGY,Liverpool,eng Premier League,32,2534,28.2,28,4,0,0.6,0.4,1.0,0.5,0.2,0.2,0.1,0.4,0.1,0.0,4.0,0.11,0.23,2.0,49.1,,FW,e342ad68
41,Rafa Mújica,0.7,1.9,4.2,0.17,0.38,0.5,0.2,2023-2024,24,es ESP,Arouca,pt Primeira Liga,30,2529,28.1,29,1,0,0.7,0.1,0.8,0.7,0.0,0.0,0.0,0.5,0.2,0.0,4.2,0.17,0.38,1.9,44.9,,FW,04a67d5b
42,Thiago,0.6,1.1,2.8,0.15,0.38,0.7,0.2,2023-2024,22,br BRA,Club Brugge,be Belgian Pro League,34,2525,28.1,29,5,0,0.6,0.1,0.7,0.4,0.2,0.2,0.0,0.7,0.2,0.0,2.8,0.15,0.38,1.1,41.0,,FW,dc45ac24
43,Guillermo Martínez Ayala,0.6,1.3,3.0,0.17,0.38,0.1,0.0,2023-2024,28,mx MEX,2 Teams,mx Liga MX,33,2506,27.8,29,4,0,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.17,0.38,1.3,44.0,,FW,59146354
44,Rey Manaj,0.6,1.5,4.1,0.12,0.33,0.3,0.1,2023-2024,26,al ALB,Sivasspor,tr Süper Lig,33,2503,27.8,28,5,0,0.6,0.1,0.8,0.5,0.1,0.1,0.0,0.3,0.1,0.0,4.1,0.12,0.33,1.5,36.8,,FW,7703afb6
45,Firas Al-Buraikan,0.6,0.9,1.7,0.35,0.62,0.7,0.3,2023-2024,23,sa KSA,2 Teams,sa Saudi Pro League,32,2502,27.8,28,4,0,0.6,0.3,0.9,0.6,0.0,0.0,0.0,0.7,0.3,0.0,1.7,0.35,0.62,0.9,56.5,,FW,ac717a23
46,Paddy Madden,0.6,1.5,3.0,0.16,0.32,0.3,0.2,2023-2024,33,ie IRL,Stockport,eng League Two,42,2491,27.7,26,16,3,0.6,0.2,0.8,0.5,0.1,0.2,0.0,0.3,0.2,0.0,3.0,0.16,0.32,1.5,50.0,,FWMF,9c708676
47,Alexander Sørloth,0.8,1.3,2.8,0.29,0.64,0.1,0.0,2023-2024,27,no NOR,Villarreal,es La Liga,34,2489,27.7,30,4,1,0.8,0.2,1.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,2.8,0.29,0.64,1.3,46.2,,FW,e92cd3f7
48,Ante Budimir,0.6,1.3,2.8,0.18,0.40,0.5,0.2,2023-2024,32,hr CRO,Osasuna,es La Liga,33,2435,27.1,29,4,1,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.5,0.2,0.0,2.8,0.18,0.40,1.3,46.1,,FW,8f3565b3
49,Jeredy Hilterman,0.6,1.6,3.4,0.16,0.36,0.7,0.4,2023-2024,25,sr SUR,Willem II,nl Eerste Divisie,35,2428,27.0,30,5,0,0.6,0.3,0.9,0.6,0.0,0.1,0.0,0.7,0.4,0.0,3.4,0.16,0.36,1.6,45.7,,FW,40e63081
50,Maximilian Beier,0.6,1.5,3.0,0.20,0.41,0.4,0.4,2023-2024,20,de GER,Hoffenheim,de Bundesliga,33,2420,26.9,29,4,0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.4,0.4,0.0,3.0,0.20,0.41,1.5,47.6,,FWMF,5db45ee5
51,Sem Steijn,0.6,1.2,3.3,0.18,0.52,0.6,0.4,2023-2024,21,nl NED,Twente,nl Eredivisie,34,2414,26.8,32,2,0,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.6,0.4,0.0,3.3,0.18,0.52,1.2,34.8,,MF,ef58c4bc
52,Brian Brobbey,0.7,1.6,3.2,0.21,0.43,0.2,0.0,2023-2024,21,nl NED,Ajax,nl Eredivisie,30,2405,26.7,29,1,1,0.7,0.3,1.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,3.2,0.21,0.43,1.6,49.4,,FW,4c184730
53,Massimo Coda,0.6,1.4,4.1,0.11,0.32,0.2,0.2,2023-2024,34,it ITA,2 Teams,2 Comps,35,2380,26.4,29,6,2,0.6,0.1,0.7,0.5,0.2,0.2,0.0,0.2,0.2,0.0,4.1,0.11,0.32,1.4,34.9,,FW,4c7940d6
54,Santiago Giménez,0.9,2.0,4.1,0.19,0.40,0.2,0.0,2023-2024,22,mx MEX,Feyenoord,nl Eredivisie,30,2370,26.3,29,1,1,0.9,0.2,1.1,0.8,0.1,0.2,0.1,0.2,0.0,0.0,4.1,0.19,0.40,2.0,49.1,,FW,37337aea
55,Christos Tzolis,0.8,1.4,3.5,0.18,0.47,0.5,0.2,2023-2024,21,gr GRE,Düsseldorf,de 2. Bundesliga,30,2367,26.3,28,2,1,0.8,0.2,1.1,0.6,0.2,0.2,0.0,0.5,0.2,0.0,3.5,0.18,0.47,1.4,39.1,,MFFW,9f333379
56,Olivier Giroud,0.6,1.4,2.9,0.14,0.31,0.4,0.2,2023-2024,36,fr FRA,Milan,it Serie A,35,2363,26.3,28,7,1,0.6,0.3,0.9,0.4,0.2,0.2,0.0,0.4,0.2,0.0,2.9,0.14,0.31,1.4,46.8,,FW,16ceb862
57,Aleksandar Mitrović,1.1,1.8,4.6,0.14,0.35,0.3,0.2,2023-2024,28,rs SRB,2 Teams,2 Comps,29,2361,26.2,27,2,0,1.1,0.2,1.3,0.6,0.4,0.5,0.1,0.3,0.2,0.0,4.6,0.14,0.35,1.8,39.7,,FW,3925dbd6
58,Konstantin Tyukavin,0.6,1.6,3.0,0.19,0.37,0.2,0.3,2023-2024,21,ru RUS,Dynamo Moscow,ru Russian Premier League,30,2326,25.8,29,1,0,0.6,0.3,0.9,0.6,0.0,0.0,0.0,0.2,0.3,0.0,3.0,0.19,0.37,1.6,53.2,,FW,ee4c5ff7
59,Wissam Ben Yedder,0.6,1.2,2.5,0.23,0.48,0.1,0.3,2023-2024,32,fr FRA,Monaco,fr Ligue 1,32,2316,25.7,26,6,1,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.1,0.3,0.0,2.5,0.23,0.48,1.2,48.4,,FW,942b4f90
60,Jude Bellingham,0.7,1.4,2.4,0.29,0.51,1.4,0.8,2023-2024,20,eng ENG,Real Madrid,es La Liga,28,2315,25.7,27,1,4,0.7,0.2,1.0,0.7,0.0,0.0,0.0,1.4,0.8,0.0,2.4,0.29,0.51,1.4,55.6,,MFFW,57d88cf9
61,Mohamed Amoura,0.7,1.9,4.6,0.15,0.36,0.5,0.2,2023-2024,23,dz ALG,2 Teams,2 Comps,35,2312,25.7,25,10,1,0.7,0.2,0.9,0.7,0.0,0.0,0.0,0.5,0.2,0.0,4.6,0.15,0.36,1.9,42.7,,FW,6597f8b6
62,Dušan Vlahović,0.6,1.5,4.3,0.13,0.36,0.2,0.1,2023-2024,23,rs SRB,Juventus,it Serie A,33,2307,25.6,27,6,0,0.6,0.2,0.8,0.5,0.1,0.2,0.1,0.2,0.1,0.0,4.3,0.13,0.36,1.5,35.5,,FW,79443529
63,Jhonder Cádiz,0.6,1.3,3.6,0.13,0.35,0.3,0.0,2023-2024,28,ve VEN,Famalicão,pt Primeira Liga,30,2300,25.6,27,3,0,0.6,0.0,0.6,0.5,0.1,0.2,0.0,0.3,0.0,0.0,3.6,0.13,0.35,1.3,36.6,,FW,e8edfdc9
64,Jon Bautista,0.7,1.5,3.3,0.20,0.45,0.8,0.2,2023-2024,28,es ESP,Eibar,es Segunda División,34,2297,25.5,27,7,4,0.7,0.1,0.7,0.7,0.0,0.0,0.0,0.8,0.2,0.0,3.3,0.20,0.45,1.5,44.7,,FW,debc6b55
65,Mateo Cassierra,0.8,1.2,2.5,0.33,0.68,0.2,0.1,2023-2024,26,co COL,Zenit,ru Russian Premier League,28,2294,25.5,27,1,0,0.8,0.2,1.0,0.8,0.0,0.0,0.0,0.2,0.1,0.0,2.5,0.33,0.68,1.2,48.4,,FW,0f714df2
66,Alexandre Lacazette,0.7,1.4,2.4,0.27,0.47,0.5,0.3,2023-2024,32,fr FRA,Lyon,fr Ligue 1,29,2293,25.5,27,2,0,0.7,0.1,0.8,0.7,0.1,0.1,0.0,0.5,0.3,0.0,2.4,0.27,0.47,1.4,58.1,,FW,9dbb75ca
