index,feature,mean_abs_shap_mean,mean_abs_shap_std
142,country_of_citizenship_Austria,0.0004264574945252979,0.0004281384830008967
81,club_league_name_Liga_Profesional_de_Ftbol,0.0004207418329335029,0.00025332047087280545
273,country_of_citizenship_Wales,0.00041860506932042246,0.00032474155358529216
269,country_of_citizenship_United_States,0.0004065071124860867,0.0003436210140734517
149,country_of_citizenship_Bosnia_Herzegovina,0.0003882217517356842,0.0002939317874776593
93,club_league_name_Pro_League,0.00037285797166593883,0.0002008482447225306
290,position_group_MID,0.0003724838129734331,0.00010436684203603111
13,Comp_eng_League_One,0.00036612986950187423,0.0003391917131533885
65,club_league_name_Bundesliga,0.00036190303329677523,0.0003612396558834767
83,club_league_name_Ligue_2,0.00036181745010815085,0.00029719257420414305
16,Comp_es_La_Liga,0.0003576749834182611,0.0002921842812751415
54,age,0.0003539037265147833,0.00022973196690750914
173,country_of_citizenship_Denmark,0.000344059409839859,0.00029801646464564316
241,country_of_citizenship_Romania,0.00032992856192209176,0.00033750954610232476
97,club_league_name_Sper_Lig,0.00032267235410375747,0.00018754429051640089
23,Comp_it_Serie_A,0.00032132563671294345,0.0003655720104107983
31,Comp_ro_Liga_I,0.00031693702453120323,0.0002342210102372149
703,sub_position_Attacking_Midfield,0.000306304379048368,0.00031382764023001774
345,positions_CB_LB_CDM,0.000302329363798398,0.0002302352798575154
90,club_league_name_Primeira_Liga,0.00030156166397538064,0.00029806038414583103
111,country_name_France,0.00028974402267953716,0.0003128494711771455
334,positions_CB,0.00028372744391156127,0.00033031978902704024
245,country_of_citizenship_Scotland,0.00028349540270605083,0.00035521881841241474
217,country_of_citizenship_Mali,0.0002728699775806557,0.0002546073749350683
205,country_of_citizenship_Japan,0.00027133671638854517,0.0002524503651246867
62,club_league_name_3_Liga,0.0002651594259783471,0.0003428433670843546
30,Comp_pt_Primeira_Liga,0.0002595750697338917,0.00026039889850431095
77,club_league_name_League_One,0.00025088227967176834,0.00019826941180369612
288,position_group_FWD,0.0002484761300816188,0.00025410330558522476
296,positions_CAM_CM,0.000246089312906439,0.00015594221898110094
268,country_of_citizenship_Ukraine,0.00024278281515263908,0.0002056790717932108
711,sub_position_Left_Winger,0.00023834303075034445,0.00031466248223241004
712,sub_position_Right_Back,0.00023516332156309336,0.00026159656351092966
139,country_of_citizenship_Argentina,0.00022467060433614024,0.0002480026678363693
24,Comp_it_Serie_B,0.00021914346861832585,0.00021633735131515902
166,country_of_citizenship_Cote_dIvoire,0.00021860148892508815,0.00014450124929597953
145,country_of_citizenship_Belgium,0.00021735348012086962,0.0001415996469809111
388,positions_CM_CAM,0.00021079513218607557,0.00016866580316063256
76,club_league_name_La_Liga_2,0.0002097352690065165,0.00017778916968077846
614,positions_RM_RW,0.00020821432433967672,0.0002317036728765762
40,Pos_DF,0.00020518647747371163,8.974002349238365e-05
28,Comp_nl_Eredivisie,0.00018275110447329995,0.000256819376103159
439,positions_GK,0.0001784003730799041,0.00015241066858550655
399,positions_CM_CDM,0.00017645013259245037,0.00020190519269108246
201,country_of_citizenship_Ireland,0.00017186932568502954,0.00014287952918429548
11,Comp_dk_Danish_Superliga,0.00017078505265600161,0.0002232639852941482
359,positions_CB_RB_RM,0.00016695176887811212,0.0001915384435388878
181,country_of_citizenship_Finland,0.00016692436433654752,0.00022067388025567435
108,country_name_Denmark,0.00016560545997453138,0.00029649488684552764
3,Comp_at_Austrian_Bundesliga,0.00015757155290770555,0.00016148023506170492
186,country_of_citizenship_Germany,0.0001562804796772696,0.00012868373019452744
713,sub_position_Right_Midfield,0.00013578177628052136,0.0001666499499415647
400,positions_CM_CDM_CAM,0.00013236121908149036,0.0001485402220787915
36,Comp_tr_Sper_Lig,0.00012993381260865774,0.00015872207489663122
42,Pos_DFMF,0.00012800912650264755,0.00014284949547208116
710,sub_position_Left_Midfield,0.00012426393702539144,0.0003015219434824307
351,positions_CB_RB_CDM,0.000119482362709835,0.0001234545937958196
14,Comp_eng_League_Two,0.00011943805566271247,0.0001689692064181725
251,country_of_citizenship_Slovenia,0.00011204374799544312,0.00016371325506132808
714,sub_position_Right_Winger,0.00010938362238530232,0.00012511618535434612
542,positions_RB,0.00010645843919547265,0.00014255355248088273
256,country_of_citizenship_Sweden,0.00010616688330614353,0.00012729380036177865
707,sub_position_Defensive_Midfield,0.00010271133098817594,0.00010708431321188596
29,Comp_pl_Ekstraklasa,9.408015086686435e-05,0.00013246850380010293
225,country_of_citizenship_Morocco,9.079567028504309e-05,9.480533806448827e-05
187,country_of_citizenship_Ghana,8.172340906693864e-05,0.0001256211510523031
49,Pos_MFFW,7.962709222265868e-05,8.305628460707589e-05
389,positions_CM_CAM_CDM,7.956150152176535e-05,0.00011756106323400523
455,positions_LB_LM,7.571902910344892e-05,0.00017753897384983766
336,positions_CB_CDM_CM,7.466185587219225e-05,0.00011780072438700034
510,positions_LM_RM_LW,7.459208859925976e-05,0.00011989402137908035
350,positions_CB_RB,7.344979045199644e-05,0.00015031157673071896
20,Comp_hr_Hrvatska_NL,7.341737177896993e-05,0.0001010736031704047
136,country_of_citizenship_Algeria,7.279474601920395e-05,0.00012111044270045816
370,positions_CDM_CM_CB,7.234304025611034e-05,9.446777645417285e-05
4,Comp_au_A_League_Men,6.771883709672354e-05,8.773316253275884e-05
63,club_league_name_A_League_Men,6.505801846931886e-05,9.153352789447005e-05
154,country_of_citizenship_Cameroon,6.363971767106459e-05,9.333588571779347e-05
191,country_of_citizenship_Guinea,6.018557409893315e-05,8.850262335887373e-05
709,sub_position_Left_Back,5.967127123315589e-05,7.754636896517489e-05
6,Comp_be_Challenger_Pro_League,5.851697733994284e-05,0.00010488525591566036
652,positions_ST_CAM,5.763346044129338e-05,9.151820799719164e-05
551,positions_RB_CB_RM,5.682827379249563e-05,7.47233493524807e-05
50,Pos_nan,5.0397794333894266e-05,5.98105448736832e-05
135,country_of_citizenship_Albania,4.9372956113231584e-05,0.00011500560661745097
35,Comp_sct_Scottish_Premiership,4.855773696312172e-05,0.0001020885550107742
317,positions_CAM_RM_CM,4.658620577122518e-05,0.00012313868032676661
172,country_of_citizenship_DR_Congo,4.5388683613397945e-05,0.00012173187276671135
162,country_of_citizenship_Colombia,4.3696317728962596e-05,0.00011849010507350552
45,Pos_FWMF,4.262023498668949e-05,6.499844654449213e-05
10,Comp_de_Bundesliga,4.1737492447016565e-05,4.920696773901577e-05
328,positions_CAM_ST_CM,4.13403104104857e-05,0.00013048766910507095
197,country_of_citizenship_Iceland,4.095457481428296e-05,7.489525534957374e-05
17,Comp_es_Segunda_Divisin,3.732254936391848e-05,7.289161101987755e-05
528,positions_LW_LM,3.616784726964827e-05,9.503525400447461e-05
61,club_league_name_2_Bundesliga,3.4650278044475575e-05,8.306145536023476e-05
344,positions_CB_LB,3.123530875941613e-05,6.739488200066892e-05
306,positions_CAM_LM_CM,3.113720174218557e-05,8.305757519255933e-05
255,country_of_citizenship_Suriname,3.081344977411374e-05,0.00011167722335101399
257,country_of_citizenship_Switzerland,3.0459957946467025e-05,5.7813909135070974e-05
270,country_of_citizenship_Uruguay,2.94275508135353e-05,5.182504383684014e-05
70,club_league_name_Eliteserien,2.8309671165076826e-05,6.877021885934767e-05
708,sub_position_Goalkeeper,2.662561365985733e-05,5.7208410078106704e-05
155,country_of_citizenship_Canada,2.6351323673946954e-05,4.846387407987178e-05
5,Comp_be_Belgian_Pro_League,2.4610546317694683e-05,3.128983310826278e-05
246,country_of_citizenship_Senegal,2.440692801190369e-05,4.873563869006228e-05
285,is_free_agent,1.6863106879269284e-05,2.7746383694636937e-05
603,positions_RM_LM_RW,1.675658054028834e-05,4.422476395997684e-05
78,club_league_name_League_Two,1.5663995227072322e-05,2.3409347354383865e-05
495,positions_LM_LW,1.450014167717374e-05,4.2057917079857876e-05
171,country_of_citizenship_Czech_Republic,1.3874516666947174e-05,2.5473495454291646e-05
653,positions_ST_CAM_CM,1.129646000145936e-05,4.375100145675032e-05
519,positions_LM_ST_LW,9.767522024987524e-06,3.782945013649083e-05
26,Comp_nan,9.766061342270564e-06,2.337654272613136e-05
368,positions_CDM_CM_CAM,7.052427956169454e-06,2.7313936024571905e-05
232,country_of_citizenship_Northern_Ireland,5.954716593464267e-06,2.3062518197872064e-05
210,country_of_citizenship_Kosovo,5.923056552012238e-06,1.8785426608690103e-05
128,country_name_Scotland,5.652552798252528e-06,2.1892242851190173e-05
479,positions_LM_CAM_LW,5.274996355662223e-06,2.0429973036784607e-05
535,positions_LW_RW_LM,4.01235412134292e-06,1.5539780691047824e-05
86,club_league_name_Premier_Division,3.1658083690798994e-06,1.2261123090730513e-05
571,positions_RB_LB_RM,3.1141271557398785e-06,8.220393093526121e-06
441,positions_LB_CB,9.795193907193535e-07,3.793662287543292e-06
133,country_name_Wales,0.0,0.0
137,country_of_citizenship_Angola,0.0,0.0
138,country_of_citizenship_Antigua_and_Barbuda,0.0,0.0
