full_name,position_group,actual_value,predicted_value,boosted_meta_pred,neural_meta_pred,abs_pct_error
Vasilios Barkas,GK,2849999.999999999,1884601.412574669,1896710.4963563457,780315.5613582557,33.873634646502815
Benjamin Uphoff,GK,474999.99999999977,508116.47540915874,509521.81328446703,347392.8530385307,6.9718895598229444
Marcus Fraser,DEF,425000.0000000002,376089.01285857486,380665.7733497182,71130.05417167602,11.508467562688304
Ardian Ismajli,DEF,3299999.9999999986,3798343.086718669,3809016.4524897127,2581159.340529888,15.10130565814154
Florian Flick,DEF,1299999.9999999993,843676.8634849663,847319.7974111834,466182.27809111436,35.10177973192563
Tomoki Iwata,DEF,1749999.9999999998,3059416.4695417383,2974266.392591726,149061410.3726528,74.82379825952793
Rasmus Lauritsen,DEF,1550000.0000000012,926510.2098924172,923616.2576379234,1425284.7382768085,40.22514774887635
Danny da Costa,DEF,2649999.999999999,3038174.928502815,3030294.32171678,4344158.396190869,14.648110509540224
Kosta Barbarouses,MID,512499.9999999997,358328.15305392124,359241.5319213638,252386.2448383609,30.08231159923484
Bradley Locko,DEF,9999999.999999996,8010535.179404403,7966734.246127856,17040979.225911777,19.89464820595594
Abdelhamid Sabiri,MID,2649999.999999999,3865003.434666199,3854330.573490762,5655716.892353054,45.84918621381889
Ezequiel Ponce,FWD,4050000.0000000033,3747880.437823008,3754658.2343169157,2922496.6619049353,7.45974227597519
Elías Pereyra,DEF,875000.0,1274691.5697951291,1272211.4923421072,1666674.8739481783,45.67903654801476
Florian Tardieu,MID,1350000.0,845846.8932325244,839243.7127776225,2488239.90678533,37.344674575368565
Tiago Çukur,FWD,649999.9999999995,747641.1051658993,757577.7154540286,121410.81866918683,15.021708487061508
Amadou Dante,DEF,2100000.000000001,1333832.0523862299,1337529.5477048296,911135.1742292995,36.48418798160813
Mason Greenwood,MID,46000000.00000004,50872369.39610834,50188810.699640065,327592248.71725404,10.592107382844121
Frenkie de Jong,MID,62250000.00000009,78951478.7975498,78808747.88046452,101286450.22454485,26.82968481534086
Shaqueel van Persie,FWD,812499.9999999993,545341.5510044256,545246.9021152582,558530.4693732456,32.881039876378324
Nando Verdoni,GK,212500.00000000017,236424.89189416825,236962.0202900275,172984.7343074576,11.258772656079085
Ainsley Maitland-Niles,DEF,11000000.000000013,8720439.107906142,9087076.251690177,30066.725989809085,20.723280837216983
Tyrone Mings,DEF,6499999.999999999,8013098.198351938,7982266.830962996,13623853.158374105,23.27843382079907
Cheick Souaré,DEF,1600000.0000000012,2115371.885596748,2151981.832001581,199271.5709718092,32.21074284979665
Giuseppe Pezzella,DEF,2100000.000000001,2257399.3395516737,2229856.6142955474,12235418.381970152,7.495206645317749
Julian Araujo,DEF,8999999.999999996,6882219.814960078,6959164.832062402,1489193.068855515,23.530890944887986
Aleksandar Ćirković,MID,1050000.0000000007,1454873.072553391,1457936.2521077842,1089101.4177401543,38.55934024318001
Max Christiansen,MID,912500.0000000001,606831.6881901507,608728.5198860549,394878.1321755339,33.49789718464103
Noah Shamoun,MID,512499.9999999997,458341.67617956485,472557.68021897203,6835.9699946013825,10.567477818621441
César Montes,DEF,2250000.000000001,3341878.691862305,3318508.3267925037,8782004.8735716,48.52794186054684
Ben Mee,DEF,812499.9999999993,786495.3731019687,789027.3445480306,505262.8632958042,3.2005694643730034
Enzo Ebosse,DEF,1849999.9999999995,1742661.9097299124,1735878.7410556276,2981271.1851976565,5.802058933518224
Ali Fadal,MID,299999.99999999977,455878.9900681856,452017.53851534834,1470490.956074596,51.959663356061995
Finn Stokkers,FWD,562500.0000000003,660205.1135650565,663656.2987711045,322058.7261149436,17.369797967121077
Isaac Mbenza,MID,1099999.9999999998,1294380.0171646087,1305721.8629674274,389427.0931112998,17.67091065132809
Roggerio Nyakossi,DEF,600000.0000000003,561736.5648951087,561070.4698644821,661415.608821258,6.377239184148606
